Match_id,Team,Opposite_Team,Innings,Batsman,Dismissal Type,Fielder,Bowler,Runs,Balls,Boundaries,Sixes,StrikeRate
1,England,New Zealand,1,Jonny Bairstow,Catch,Daryl Mitchell,Mitchell Santner,33,35,4,1,94.29
1,England,New Zealand,1,Dawid Malan,Catch,Latham,Matt Henry,14,24,2,0,58.33
1,England,New Zealand,1,Joe Root,Bowled,-,Glenn Phillips,77,86,4,1,89.53
1,England,New Zealand,1,Harry Brook,Catch,Devon Conway,Rachin Ravindra,25,16,4,1,156.25
1,England,New Zealand,1,Moeen Ali,Bowled,-,Glenn Phillips,11,17,1,0,64.71
1,England,New Zealand,1,Jos Buttler,Catch,Latham,Matt Henry,43,42,2,2,102.38
1,England,New Zealand,1,Liam Livingstone,Catch,Matt Henry,Trent Boult,20,22,3,0,90.91
1,England,New Zealand,1,Sam Curran,Catch,Latham,Matt Henry,14,19,0,0,73.68
1,England,New Zealand,1,Chris Woakes,Catch,Will Young,Mitchell Santner,11,12,1,0,91.67
1,England,New Zealand,1,Adil Rashid,Not out,-,-,15,13,0,1,115.38
1,England,New Zealand,1,Mark Wood,Not out,-,-,13,14,0,0,92.86
2,Pakistan,Netherlands,1,Fakhar Zaman,Caught and Bowled,-,Logan van Beek,12,15,3,0,80.0
2,Pakistan,Netherlands,1,Imam-ul-Haq,Catch,Aryan Dutt,Paul van Meekeren,15,19,2,0,78.95
2,Pakistan,Netherlands,1,Babar Azam,Catch,Saqib Zulfiqar,Colin Ackermann,5,18,0,0,27.78
2,Pakistan,Netherlands,1,Mohammad Rizwan,Bowled,-,Bas de Leede,68,75,8,0,90.67
2,Pakistan,Netherlands,1,Saud Shakeel,Catch,Saqib Zulfiqar,Aryan Dutt,68,52,9,1,130.77
2,Pakistan,Netherlands,1,Iftikhar Ahmed,Catch,Edwards,Bas de Leede,9,11,1,0,81.82
2,Pakistan,Netherlands,1,Mohammad Nawaz,Run out,van Meekeren/Ackermann,-,39,43,4,0,90.7
2,Pakistan,Netherlands,1,Shadab Khan,Bowled,-,Bas de Leede,32,34,2,1,94.12
2,Pakistan,Netherlands,1,Hasan Ali,lbw,-,Bas de Leede,0,1,0,0,0.0
2,Pakistan,Netherlands,1,Shaheen Afridi,Not out,-,-,13,12,2,0,108.33
2,Pakistan,Netherlands,1,Haris Rauf,Stump,Edwards,Colin Ackermann,16,14,2,1,114.29
3,Afghanistan,Bangladesh,1,Rahmanullah Gurbaz,Catch,Tanzid Hasan,Mustafizur Rahman,47,62,4,1,75.81
3,Afghanistan,Bangladesh,1,Ibrahim Zadran,Catch,Tanzid Hasan,Shakib,22,25,3,1,88.0
3,Afghanistan,Bangladesh,1,Rahmat Shah,Catch,Litton Das,Shakib,18,25,1,0,72.0
3,Afghanistan,Bangladesh,1,Hashmatullah Shahidi,Catch,Towhid Hridoy,Mehidy Hasan Miraz,18,38,2,0,47.37
3,Afghanistan,Bangladesh,1,Najibullah Zadran,Bowled,-,Shakib,5,13,0,0,38.46
3,Afghanistan,Bangladesh,1,Mohammad Nabi,Bowled,-,Taskin Ahmed,6,12,0,0,50.0
3,Afghanistan,Bangladesh,1,Azmatullah Omarzai,Bowled,-,Shoriful Islam,22,20,4,0,110.0
3,Afghanistan,Bangladesh,1,Rashid Khan,Bowled,-,Mehidy Hasan Miraz,9,16,1,0,56.25
3,Afghanistan,Bangladesh,1,Mujeeb Ur Rahman,Bowled,-,Mehidy Hasan Miraz,1,4,0,0,25.0
3,Afghanistan,Bangladesh,1,Naveen-ul-Haq,Catch,Towhid Hridoy,Shoriful Islam,0,6,0,0,0.0
3,Afghanistan,Bangladesh,1,Fazalhaq Farooqi,Not out,-,-,0,3,0,0,0.0
4,South Africa,Sri Lanka,1,Quinton de Kock,Catch,Dhananjaya de Silva,Matheesha Pathirana,100,84,12,3,119.05
4,South Africa,Sri Lanka,1,Temba Bavuma,lbw,-,Dilshan Madushanka,8,5,2,0,160.0
4,South Africa,Sri Lanka,1,Rassie van der Dussen,Catch,Sadeera Samarawickrama,Dunith Wellalage,108,110,13,2,98.18
4,South Africa,Sri Lanka,1,Aiden Markram,Catch,Kasun Rajitha,Dilshan Madushanka,106,54,14,3,196.3
4,South Africa,Sri Lanka,1,Heinrich Klaasen,Catch,Shanaka,Kasun Rajitha,32,20,1,3,160.0
4,South Africa,Sri Lanka,1,David Miller,Not out,-,-,39,21,3,2,185.71
4,South Africa,Sri Lanka,1,Marco Jansen,Not out,-,-,12,7,0,1,171.43
5,Australia,India,1,David Warner,Caught and Bowled,-,Kuldeep Yadav,41,52,6,0,78.85
5,Australia,India,1,Mitchell Marsh,Catch,Virat Kohli,Jasprit Bumrah,0,6,0,0,0.0
5,Australia,India,1,Steven Smith,Bowled,-,Ravindra Jadeja,46,71,5,0,64.79
5,Australia,India,1,Marnus Labuschagne,Catch,Rahul,Ravindra Jadeja,27,41,1,0,65.85
5,Australia,India,1,Glenn Maxwell,Bowled,-,Kuldeep Yadav,15,25,1,0,60.0
5,Australia,India,1,Alex Carey,lbw,-,Ravindra Jadeja,0,2,0,0,0.0
5,Australia,India,1,Cameron Green,Catch,Hardik Pandya,Ravichandran Ashwin,8,20,0,0,40.0
5,Australia,India,1,Pat Cummins,Catch,Shreyas Iyer,Jasprit Bumrah,15,24,1,1,62.5
5,Australia,India,1,Mitchell Starc,Catch,Shreyas Iyer,Mohammed Siraj,28,35,2,1,80.0
5,Australia,India,1,Adam Zampa,Catch,Virat Kohli,Hardik Pandya,6,20,0,0,30.0
5,Australia,India,1,Josh Hazlewood,Not out,-,-,1,1,0,0,100.0
6,New Zealand,Netherlands,1,Devon Conway,Catch,Bas de Leede,Roelof van der Merwe,32,40,5,1,80.0
6,New Zealand,Netherlands,1,Will Young,Catch,Bas de Leede,Paul van Meekeren,70,80,7,2,87.5
6,New Zealand,Netherlands,1,Rachin Ravindra,Catch,Edwards,Roelof van der Merwe,51,51,3,1,100.0
6,New Zealand,Netherlands,1,Daryl Mitchell,Bowled,-,Paul van Meekeren,48,47,5,2,102.13
6,New Zealand,Netherlands,1,Tom Latham,Stump,Edwards,Aryan Dutt,53,46,6,1,115.22
6,New Zealand,Netherlands,1,Glenn Phillips,Catch,Edwards,Bas de Leede,4,4,1,0,100.0
6,New Zealand,Netherlands,1,Mark Chapman,Catch,Roelof van der Merwe,Aryan Dutt,5,13,0,0,38.46
6,New Zealand,Netherlands,1,Mitchell Santner,Not out,-,-,36,17,3,2,211.76
6,New Zealand,Netherlands,1,Matt Henry,Not out,-,-,10,4,0,1,250.0
7,England,Bangladesh,1,Jonny Bairstow,Bowled,-,Shakib,52,59,8,0,88.14
7,England,Bangladesh,1,Dawid Malan,Bowled,-,Mahedi Hasan,140,107,16,5,130.84
7,England,Bangladesh,1,Joe Root,Catch,Mushfiqur Rahim,Shoriful Islam,82,68,8,1,120.59
7,England,Bangladesh,1,Jos Buttler,Bowled,-,Shoriful Islam,20,10,1,1,200.0
7,England,Bangladesh,1,Harry Brook,Catch,Litton Das,Mahedi Hasan,20,15,3,0,133.33
7,England,Bangladesh,1,Liam Livingstone,Bowled,-,Shoriful Islam,0,1,0,0,0.0
7,England,Bangladesh,1,Sam Curran,Catch,Najmul Hossain Shanto,Mahedi Hasan,11,15,1,0,73.33
7,England,Bangladesh,1,Chris Woakes,Catch,Mahedi Hasan,Taskin Ahmed,14,11,2,0,127.27
7,England,Bangladesh,1,Adil Rashid,Catch,Najmul Hossain Shanto,Mahedi Hasan,11,7,1,0,157.14
7,England,Bangladesh,1,Mark Wood,Not out,-,-,6,5,1,0,120.0
7,England,Bangladesh,1,Reece Topley,Not out,-,-,1,2,0,0,50.0
8,Sri Lanka,Pakistan,1,Pathum Nissanka,Catch,Shafique,Shadab Khan,51,61,7,1,83.61
8,Sri Lanka,Pakistan,1,Kusal Perera,Catch,Rizwan,Hasan Ali,0,4,0,0,0.0
8,Sri Lanka,Pakistan,1,Kusal Mendis,Catch,Imam-ul-Haq,Hasan Ali,122,77,14,6,158.44
8,Sri Lanka,Pakistan,1,Sadeera Samarawickrama,Catch,Rizwan,Hasan Ali,108,89,11,2,121.35
8,Sri Lanka,Pakistan,1,Charith Asalanka,Catch,Rizwan,Hasan Ali,1,3,0,0,33.33
8,Sri Lanka,Pakistan,1,Dhananjaya de Silva,Catch,Shaheen Afridi,Mohammad Nawaz,25,34,3,0,73.53
8,Sri Lanka,Pakistan,1,Dasun Shanaka,Catch,Babar Azam,Shaheen Afridi,12,18,0,0,66.67
8,Sri Lanka,Pakistan,1,Dunith Wellalage,Catch,Shafique,Haris Rauf,10,8,1,0,125.0
8,Sri Lanka,Pakistan,1,Maheesh Theekshana,Bowled,-,Haris Rauf,0,4,0,0,0.0
8,Sri Lanka,Pakistan,1,Matheesha Pathirana,Not out,-,-,1,3,0,0,33.33
9,Afghanistan,India,1,Rahmanullah Gurbaz,Catch,Thakur,Hardik Pandya,21,28,3,1,75.0
9,Afghanistan,India,1,Ibrahim Zadran,Catch,Rahul,Jasprit Bumrah,22,28,4,0,78.57
9,Afghanistan,India,1,Rahmat Shah,lbw,-,Thakur,16,22,3,0,72.73
9,Afghanistan,India,1,Hashmatullah Shahidi,lbw,-,Kuldeep Yadav,80,88,8,1,90.91
9,Afghanistan,India,1,Azmatullah Omarzai,Bowled,-,Hardik Pandya,62,69,2,4,89.86
9,Afghanistan,India,1,Mohammad Nabi,lbw,-,Jasprit Bumrah,19,27,1,0,70.37
9,Afghanistan,India,1,Najibullah Zadran,Catch,Virat Kohli,Jasprit Bumrah,2,8,0,0,25.0
9,Afghanistan,India,1,Rashid Khan,Catch,Kuldeep Yadav,Jasprit Bumrah,16,12,1,1,133.33
9,Afghanistan,India,1,Mujeeb Ur Rahman,Not out,-,-,10,12,2,0,83.33
9,Afghanistan,India,1,Naveen-ul-Haq,Not out,-,-,9,8,1,0,112.5
10,South Africa,Australia,1,Quinton de Kock,Bowled,-,Glenn Maxwell,109,106,8,5,102.83
10,South Africa,Australia,1,Temba Bavuma,Catch,David Warner,Glenn Maxwell,35,55,2,0,63.64
10,South Africa,Australia,1,Rassie van der Dussen,Catch,(sub)Abbott,Adam Zampa,26,30,2,0,86.67
10,South Africa,Australia,1,Aiden Markram,Catch,Josh Hazlewood,Cummins,56,44,7,1,127.27
10,South Africa,Australia,1,Heinrich Klaasen,Catch,Josh Inglis,Josh Hazlewood,29,27,3,0,107.41
10,South Africa,Australia,1,David Miller,Bowled,-,Mitchell Starc,17,13,1,1,130.77
10,South Africa,Australia,1,Marco Jansen,Catch,David Warner,Mitchell Starc,26,22,3,1,118.18
10,South Africa,Australia,1,Kagiso Rabada,Not out,-,-,0,1,0,0,0.0
10,South Africa,Australia,1,Keshav Maharaj,Not out,-,-,0,2,0,0,0.0
11,Bangladesh,New Zealand,1,Litton Das,Catch,Matt Henry,Trent Boult,0,1,0,0,0.0
11,Bangladesh,New Zealand,1,Tanzid Hasan,Catch,Devon Conway,Lockie Ferguson,16,17,4,0,94.12
11,Bangladesh,New Zealand,1,Mehidy Hasan Miraz,Catch,Matt Henry,Lockie Ferguson,30,46,4,0,65.22
11,Bangladesh,New Zealand,1,Najmul Hossain Shanto,Catch,Devon Conway,Glenn Phillips,7,8,1,0,87.5
