Match_id,Team,Opposite_Team,Innings,Bowler,Overs,Maidens,Runs,Wickets,No_Balls,Wides,Economy,Bowler_Type
1,New Zealand,England,1,Trent Boult,10,1,48,1,0,1,4.8,Left-arm Fast
1,New Zealand,England,1,Matt Henry,10,1,48,3,0,0,4.8,Right-arm Fast Medium
1,New Zealand,England,1,Mitchell Santner,10,0,37,2,0,1,3.7,Left-arm Orthodox Spin
1,New Zealand,England,1,Jimmy Neesham,7,0,56,0,0,4,8,Right-arm Medium-fast
1,New Zealand,England,1,Rachin Ravindra,10,0,76,1,0,0,7.6,Left-arm Orthodox Spin
1,New Zealand,England,1,Glenn Phillips,3,0,17,2,0,0,5.7,Leg Spin
2,Netherlands,Pakistan,1,Aryan Dutt,10,0,48,1,0,2,4.8,Right-arm Medium-fast
2,Netherlands,Pakistan,1,Logan van Beek,6,0,30,1,0,1,5,Right-arm Medium-fast
2,Netherlands,Pakistan,1,Colin Ackermann,8,1,39,2,0,0,4.9,Right-arm Off Spin
2,Netherlands,Pakistan,1,Paul van Meekeren,6,0,40,1,0,2,6.7,Right-arm Medium-fast
2,Netherlands,Pakistan,1,Bas de Leede,9,0,62,4,0,3,6.9,Right-arm Medium-fast
2,Netherlands,Pakistan,1,Roelof van der Merwe,6,0,36,0,1,0,6,Left-arm Orthodox Spin
2,Netherlands,Pakistan,1,Vikramjit Singh,2,0,16,0,0,0,8,Right-arm Medium-fast
2,Netherlands,Pakistan,1,Saqib Zulfiqar,2,0,15,0,0,0,7.5,Left-arm Orthodox Spin
3,Bangladesh,Afghanistan,1,Taskin Ahmed,6,0,32,1,0,1,5.3,Right-arm Fast
3,Bangladesh,Afghanistan,1,Shoriful Islam,6.2,1,34,2,0,2,5.4,Left-arm Fast
3,Bangladesh,Afghanistan,1,Mustafizur Rahman,7,1,28,1,0,0,4,Left-arm Fast
3,Bangladesh,Afghanistan,1,Shakib Al Hasan,8,0,30,3,0,0,3.8,Left-arm Orthodox Spin
3,Bangladesh,Afghanistan,1,Mehidy Hasan Miraz,9,3,25,3,0,5,2.8,Right-arm Off Spin
3,Bangladesh,Afghanistan,1,Mahmudullah,1,0,7,0,0,0,7,Right-arm Off Spin
4,Sri Lanka,South Africa,1,Lahiru Kumara,10,1,90,1,0,2,9,Right-arm Fast
4,Sri Lanka,South Africa,1,Dilshan Madushanka,10,0,86,2,1,3,8.6,Right-arm Fast
4,Sri Lanka,South Africa,1,Dasun Shanaka,6,0,36,0,0,0,6,Right-arm Leg Spin
4,Sri Lanka,South Africa,1,Dhananjaya de Silva,4,0,39,0,0,1,9.8,Right-arm Off Spin
4,Sri Lanka,South Africa,1,Matheesha Pathirana,10,0,95,1,0,13,9.5,Right-arm Fast
4,Sri Lanka,South Africa,1,Dunith Wellalage,10,0,81,1,0,2,8.1,Right-arm Leg Spin
5,India,Australia,1,Jasprit Bumrah,10,0,35,2,0,4,3.5,Right-arm Fast
5,India,Australia,1,Mohammed Siraj,6.3,1,26,1,0,2,4,Right-arm Fast
5,India,Australia,1,Hardik Pandya,3,0,28,1,0,0,9.3,Right-arm Medium-fast
5,India,Australia,1,Ravichandran Ashwin,10,1,34,1,0,0,3.4,Right-arm Off Spin
5,India,Australia,1,Kuldeep Yadav,10,0,42,2,0,0,4.2,Left-arm Chinaman
5,India,Australia,1,Ravindra Jadeja,10,2,28,3,0,0,2.8,Left-arm Orthodox Spin
6,Netherlands,New Zealand,1,Aryan Dutt,10,2,62,2,0,5,6.2,Right-arm Medium-fast
6,Netherlands,New Zealand,1,Ryan Klein,7,1,41,0,0,3,5.9,Right-arm Medium-fast
6,Netherlands,New Zealand,1,Paul van Meekeren,9,0,59,2,1,0,6.6,Right-arm Medium-fast
6,Netherlands,New Zealand,1,Roelof van der Merwe,9,0,56,2,0,0,6.2,Left-arm Orthodox Spin
6,Netherlands,New Zealand,1,Colin Ackermann,4,0,28,0,0,0,7,Right-arm Off Spin
6,Netherlands,New Zealand,1,Bas de Leede,10,0,64,1,1,0,6.4,Right-arm Medium-fast
6,Netherlands,New Zealand,1,Vikramjit Singh,1,0,9,0,0,0,9,Right-arm Medium-fast
7,Bangladesh,England,1,Mustafizur Rahman,10,0,70,0,0,0,7,Left-arm Fast
7,Bangladesh,England,1,Taskin Ahmed,6,0,38,1,0,2,6.3,Right-arm Fast
7,Bangladesh,England,1,Shoriful Islam,10,0,75,3,0,1,7.5,Left-arm Fast
7,Bangladesh,England,1,Mahedi Hasan,8,0,71,4,0,0,8.9,Right-arm Leg Spin
7,Bangladesh,England,1,Shakib Al Hasan,10,0,52,1,0,1,5.2,Left-arm Orthodox Spin
