State,Name,Tenure,Party,Alliance
Andhra Pradesh,Y. S. Jagan Mohan Reddy,"30 May 2019 (4 years, 313 days)",YSR Congress Party,
Arunachal Pradesh,Pema Khandu,"17 July 2016 (7 years, 265 days)",Bharatiya Janata Party,NDA
Assam,Himanta Biswa Sarma,"10 May 2021 (2 years, 333 days)",Bharatiya Janata Party,NDA
Bihar,Nitish Kumar,"22 February 2015 (9 years, 45 days)",Janata Dal (United),NDA
Chhattisgarh,Vishnudeo Sai,13 December 2023 (116 days),Bharatiya Janata Party,NDA
Delhi[b],Arvind Kejriwal,"14 February 2015 (9 years, 53 days)",Aam Aadmi Party,INDIA
Goa,Pramod Sawant,"19 March 2019 (5 years, 19 days)",Bharatiya Janata Party,NDA
Gujarat,Bhupendrabhai Patel,"13 September 2021 (2 years, 207 days)",Bharatiya Janata Party,NDA
Haryana,Nayab Singh Saini,12 March 2024 (26 days),Bharatiya Janata Party,NDA
Himachal Pradesh,Sukhvinder Singh Sukhu,"11 December 2022 (1 year, 118 days)",Indian National Congress,INDIA
Jammu and Kashmir[b],Vacant (President rule),"19 June 2018 (5 years, 293 days)",,
Jharkhand,Champai Soren,2 February 2024 (65 days),Jharkhand Mukti Morcha,INDIA
Karnataka,Siddaramaiah,20 May 2023 (323 days),Indian National Congress,INDIA
Kerala,Pinarayi Vijayan,"25 May 2016 (7 years, 318 days)",Communist Party of India (Marxist),INDIA
Madhya Pradesh,Mohan Yadav,13 December 2023 (116 days),Bharatiya Janata Party,NDA
Maharashtra,Eknath Shinde,"30 June 2022 (1 year, 282 days)",Shiv Sena,NDA
Manipur,N. Biren Singh,"15 March 2017 (7 years, 23 days)",Bharatiya Janata Party,NDA
Meghalaya,Conrad Sangma,"6 March 2018 (6 years, 32 days)",National People's Party,NDA
Mizoram,Lalduhoma,8 December 2023 (121 days),Zoram People's Movement,
Nagaland,Neiphiu Rio,"8 March 2018 (6 years, 30 days)",Nationalist Democratic Progressive Party,NDA
Odisha,Naveen Patnaik,"5 March 2000 (24 years, 33 days)",Biju Janata Dal,
Puducherry[b],N. Rangaswamy,"7 May 2021 (2 years, 336 days)",All India N.R. Congress,NDA
Punjab,Bhagwant Singh Mann,"16 March 2022 (2 years, 22 days)",Aam Aadmi Party,INDIA
Rajasthan,Bhajan Lal Sharma,15 December 2023 (114 days),Bharatiya Janata Party,NDA
Sikkim,Prem Singh Tamang,"27 May 2019 (4 years, 316 days)",Sikkim Krantikari Morcha,NDA
Tamil Nadu,M. K. Stalin,"7 May 2021 (2 years, 336 days)",Dravida Munnetra Kazhagam,INDIA
Telangana,Revanth Reddy,7 December 2023 (122 days),Indian National Congress,INDIA
Tripura,Manik Saha,"15 May 2022 (1 year, 328 days)",Bharatiya Janata Party,NDA
Uttar Pradesh,Yogi Adityanath,"19 March 2017 (7 years, 19 days)",Bharatiya Janata Party,NDA
Uttarakhand,Pushkar Singh Dhami,"4 July 2021 (2 years, 278 days)",Bharatiya Janata Party,NDA
West Bengal,Mamata Banerjee,"20 May 2011 (12 years, 323 days)",All India Trinamool Congress,INDIA
